uid,model_genesis_pretrained
ei3zrrhf,0.8935255408287048
4abufwbu,0.353220671415329
cjg8vuaz,0.6222667694091797
xkdq95g3,0.8650396466255188
v23gxj0m,0.3294326364994049
qvindh4s,0.20643962919712067
pfdrwb2s,0.35656869411468506
erev361x,0.3178105056285858
snbti22n,0.7639368772506714
v01zderi,0.6979392170906067
4k5ogz2u,0.893795907497406
eaxylnfx,0.3365737199783325
j4pnjy1o,0.5379236936569214
2rntjlmz,0.6441134810447693
04x0qzfh,0.560937762260437
omtzzf8a,0.2705672085285187
df7pchcb,0.8957031965255737
n9wszv83,0.20277592539787292
xphx2kbv,0.6480521559715271
sigbiaf9,0.3153058588504791
2movs0cd,0.46843498945236206
k36m8jvh,0.4826231002807617
7ujodck8,0.25321152806282043
2853uy8u,0.4765368700027466
118qqvae,0.9460999965667725
cw9yil8s,0.898835301399231
a3idy3c7,0.34262871742248535
rm6j8y6r,0.24313655495643616
h05hhiwf,0.3718342185020447
d7yxw1tb,0.8455889821052551
rwr965r9,0.6919005513191223
6khub2rt,0.21742188930511475
soyg9zqy,0.5867555141448975
ahulwjti,0.198853000998497
qwnrhzn4,0.6813228726387024
kgeuidji,0.8990334868431091
pnf8f3gr,0.7632634043693542
94sz2kuu,0.542058527469635
oyc3rwqm,0.4638234078884125
mu7jae58,0.8536646962165833
huxg2myr,0.24069130420684814
06nkwfg3,0.47129663825035095
mwu4cfil,0.9052539467811584
kjxjq5nv,0.752411425113678
8oga0x7z,0.7118018865585327
cgdc5tao,0.8744837641716003
1cjfx5li,0.2866668701171875
kwe4bx4l,0.9301453828811646
r9tjq8zg,0.7737539410591125
vwwusxlm,0.35650092363357544
t2pnjka3,0.7150636315345764
4mqa78ra,0.7271256446838379
pkianouo,0.7260515093803406
f0onjpi1,0.3814292252063751
63yk03o4,0.43143346905708313
gkwwjwga,0.3052980601787567
btgdjz0i,0.5960886478424072
frml29q2,0.9289519786834717
l48c1cqg,0.4820385277271271
433e1i1p,0.8766340613365173
0bq1s9ry,0.6288670301437378
llwb7sjw,0.4724249541759491
h55hewlg,0.8654087781906128
je2ab2rv,0.912213146686554
ndfdw79w,0.4285254180431366
cxz2ei92,0.736139178276062
12pgyme6,0.9594632387161255
rpkzggm0,0.8663361072540283
j36tcfkj,0.9453155994415283
nawnga41,0.9255738258361816
izxtnsrt,0.5461588501930237
wlxdsc4e,0.30069607496261597
5hrdu4xs,0.5052375197410583
zjnvc7hr,0.9190423488616943
6c2cu7on,0.7640790343284607
z3jbck88,0.32565364241600037
d0tgsiwg,0.9058302640914917
0odwmqx5,0.49004295468330383
ggomf9pm,0.6577414274215698
l9ln1p0v,0.8146589398384094
uh17j8qo,0.7300095558166504
09vs9kkh,0.6686363816261292
4a3yjtu7,0.3475327491760254
fbmenui3,0.7980483770370483
do7002g3,0.30298200249671936
yu6vk0uc,0.36901503801345825
c1m3o55i,0.1785319745540619
xva1nkbt,0.2547856569290161
fshb0oqv,0.6801485419273376
shkoecub,0.8130552172660828
ods1eeur,0.7289499044418335
xhw0ic1l,0.6413466930389404
7dypmlva,0.8395928144454956
k9w9pfb3,0.7356822490692139
hn14eb87,0.8919903039932251
53ayeqah,0.6730293035507202
thsjr0fz,0.8553813099861145
auxbgk2w,0.44383615255355835
bxanj4x5,0.5821070075035095
a5xin9dl,0.9067519307136536
5tgsq7ai,0.4014568030834198
tmofmmwi,0.3563457429409027
9s3w563b,0.8581307530403137
tkf6xdn8,0.7453277111053467
wwiif86l,0.9129663705825806
thet25lz,0.24182724952697754
se99f77l,0.6825278997421265
u8el5015,0.4235936403274536
oop767j2,0.6626796126365662
dg1wjuii,0.36025470495224
ymyrsvzn,0.6895283460617065
4regb1aj,0.871937096118927
o091c795,0.8397549986839294
rlqiob0n,0.4650239050388336
lw0vs52s,0.3354470431804657
q3b9so0u,0.7714658975601196
swbkok3q,0.619529664516449
pwbsf3q0,0.7152016758918762
e27zeoqg,0.9223943948745728
vzhqjy62,0.733111560344696
zeeqnsn2,0.9326769113540649
s8nn16ux,0.31212979555130005
f5gzpl1q,0.2544821500778198
weehwjq4,0.2700340449810028
ta5ivroc,0.5333501100540161
vitwu3bf,0.7842915654182434
xb4y4k7b,0.32533374428749084
pgyvyv2g,0.421189546585083
qu7dknnc,0.4361319839954376
ptkezjss,0.42994165420532227
zwd0w9ry,0.5350804328918457
79kvls9m,0.33769509196281433
euswrgvz,0.22782333195209503
9aawe429,0.27572929859161377
omuwahk2,0.689096987247467
lslaym0w,0.7083024978637695
bglmy62x,0.40803658962249756
rw6tm2o0,0.787706196308136
4k0lthy2,0.41487112641334534
5m8kb9w4,0.4494056701660156
uov51zlb,0.8580280542373657
oriq8hke,0.6071290373802185
226parsg,0.22997672855854034
70s1f537,0.4543185234069824
ye0qzsa7,0.5035657286643982
yvdqbsxl,0.6353307962417603
ul6lgjlp,0.2750774621963501
efjawshm,0.5531255602836609
lfzkicwm,0.5169255137443542
peqydbpg,0.6463719010353088
vv4zwl3z,0.3566025197505951
yt91qe37,0.45218101143836975
qqyzqii4,0.3656634986400604
w6ozx25q,0.6394528150558472
brmqg1ve,0.7740544676780701
d32lx2to,0.25487446784973145
owt9nm3v,0.5837776064872742
2p2tixc7,0.3193529546260834
urvqt3g8,0.7075939774513245
cd31nrxd,0.2827798128128052
356wafft,0.3755931854248047
ouhylu6k,0.3202298879623413
7p9mda9o,0.20387999713420868
ekntbz3m,0.5217008590698242
55izolnn,0.5306371450424194
txrgn74f,0.6592817902565002
9yecazrp,0.34147703647613525
9dxoq2vp,0.7989550232887268
gstqmgvu,0.8324431777000427
4isotn9u,0.35619068145751953
zeryf099,0.7001425623893738
2qc6dr08,0.8702120184898376
cw2lbm2q,0.7254465818405151
sq0p82kb,0.9094232320785522
700ucrgb,0.5962144732475281
93wkcs4k,0.5242555737495422
ek4aegvf,0.2888947129249573
q3jzr25m,0.8498923182487488
df7fr91i,0.25009116530418396
pwh0mx1e,0.4055265188217163
gok01tnz,0.49915552139282227
rf5a7qy8,0.5718834400177002
yb7w8p74,0.6384313702583313
mjdxo100,0.4526265859603882
vhmygty3,0.7111467719078064
addqhkga,0.7816666960716248
d7x48wze,0.17298215627670288
4ex6u86z,0.499819815158844
jq7w7jp6,0.30937033891677856
1lfc1nlc,0.5682542324066162
8jpr7vgr,0.7896742224693298
f1hx6zdc,0.8553681373596191
ujq6fx7x,0.6100101470947266
jz6us7rp,0.3727790415287018
422ta83r,0.6034668684005737
ecjtr0m6,0.39981675148010254
hz72kxsj,0.33040332794189453
zsb6zwkh,0.3081722855567932
e9i0hn3f,0.7172806859016418
9zxqerbk,0.4025912880897522
n3dkvr5n,0.4055948257446289
av6763v1,0.6725728511810303
m3pp00cd,0.2812175750732422
nzy47quu,0.42827871441841125
sfn07ea2,0.28530097007751465
8ditmown,0.7277305126190186
x23veulj,0.6275365948677063
gqpq8r4h,0.4521312415599823
c7jvlcg1,0.42516425251960754
j5ewfwbe,0.3011374771595001
by4ubzcz,0.3096623420715332
jjy4mzvm,0.24829800426959991
cpsiln3o,0.6641924381256104
x5fl2mox,0.493408739566803
q9wfb76a,0.33154821395874023
v3s2sumh,0.3888586759567261
3b0n9cc7,0.32722315192222595
isutp04s,0.44414395093917847
brspj4ki,0.8924884796142578
i1nq0ei0,0.4506829082965851
5nms6xvq,0.3249349594116211
pu3et1ov,0.5888203382492065
ejklcp9u,0.6330687999725342
w165aejt,0.5989041328430176
70ebpy9e,0.43139177560806274
576mouze,0.34856534004211426
66vw9b0m,0.40245625376701355
qoq4kreg,0.4424685835838318
